Portland ALA
2020-3-1

100
,Dan HARLAN,31,M,9:55,12:40,12:36,12:38,12:12,59:59:00,
,Crystal HARDESTY,55,F,11:15,11:37,11:56,12:44,12:50,1:00:20,
,Suzie KELLY,41,F,11:31,12:20,12:43,12:21,11:34,1:00:27,
,Tom KUTROSKY,85,M,10:41,12:48,12:33,12:31,12:05,1:00:35,
,Andrew DORPHLEY,48,M,11:12,12:04,11:57,13:06,13:07,1:01:23,
,Melanie GREENFIELD,26,F,12:04,12:18,12:38,12:42,13:03,1:02:44,
,Jennifer SCORVO,49,F,10:30,11:45,14:27,13:32,13:56,1:04:08,
,Anthony WOODWARD,79,M,13:02,13:13,13:15,12:57,13:40,1:06:05,
,Christina TREVINO,35,F,11:46,12:59,14:03,13:21,14:05,1:06:12,
,Manuel BOLIVAR,44,M,21:08,9:47,11:07,11:46,13:18,1:07:04,
,Mary POWELL,35,F,12:29,12:42,13:03,13:46,15:30,1:07:29,
,Stacey WHEARTY,52,F,12:23,13:46,14:40,14:56,14:52,1:10:36,
,Cristina GILCHRIST-OVERL,44,F,13:47,14:30,14:18,13:50,14:45,1:11:09,
,Carl BARNER,57,M,12:34,14:48,14:51,14:31,14:38,1:11:19,
,Alice ALLEMAN,52,M,13:16,15:09,14:56,14:07,13:54,1:11:19,
,James MASONER,79,M,12:19,14:38,15:23,14:23,15:13,1:11:55,
,Wendy DENHAM,50,F,14:01,14:30,15:03,15:21,15:43,1:14:36,
,Joann GRUGAN,54,F,12:56,15:37,16:12,15:31,15:21,1:15:35,
,Debbie STEVENS,51,F,13:55,14:53,16:33,16:37,15:16,1:17:12,
,Richard LOHMAN,74,M,13:09,13:58,14:46,14:53,21:28,1:18:13,
,Lisa HILL,56,F,14:01,17:14,20:26,15:03,15:36,1:22:18,
,Libby MITCHELL,44,F,13:47,15:28,16:50,17:43,20:39,1:24:26,
,David SANDERMAN,58,M,15:12,17:17,18:45,18:59,20:05,1:30:16,
,Gregory HOWE,77,M,14:02,18:21,21:44,22:33,23:40,1:40:19,
,Shaun O'CONNOR,51,F,9:52,10:14,10:29,10:46,,41:20:00,
,Leah SANDERS,36,F,10:22,10:27,11:18,11:18,,43:24:00,
,Martha JONES,50,F,11:10,11:32,11:54,11:27,,46:02:00,
,Nick WEST,32,M,11:02,12:36,12:54,10:12,,46:42:00,
,Drew BUCK,29,M,9:33,12:29,12:43,12:29,,47:12:00,
,Curtis PETERSON,40,M,13:37,13:21,12:36,13:10,,52:42:00,
,Heidi ROUX,46,F,13:14,14:55,18:21,13:48,,1:00:17,
,Malcolm COSTELLO,60,M,13:25,15:07,18:33,13:40,,1:00:44,
,Mary TANGUAY,29,F,12:34,15:42,16:15,16:57,,1:01:27,
,Alixandrea LOPEZ,13,F,13:22,16:15,18:21,16:56,,1:04:53,
,Karen COSTELLO,57,F,13:31,15:11,22:38,14:55,,1:06:13,
,Luis MUTA,99,M,10:56,12:37,19:45,23:08,,1:06:26,
,Stephen WHITTINGTON,51,M,6:28,7:24,7:45,,,21:36,
,Tyler WILLIAMS,35,M,6:54,7:32,7:23,,,21:47,
