2023 FFA Orlando,,,,
2023-2-18,,,,
,,,,
50,,,,
40,Lisa Babin,F,34,07:46.3
257,Alexandra Delladonna,F,39,07:47.4
60,Matt Carew,M,24,07:47.7
145,Mandy Mathis,F,34,07:49.5
193,Kayra Petroccelli,F,32,07:49.7
91,Bronson Fernandez,M,29,07:54.4
72,Katy Clark,F,30,07:57.1
141,Juan Manzanares,M,50,07:58.3
284,Kevin Kramer,M,29,08:01.8
121,Nicholas Jones,M,21,08:02.0
103,Garbrielle Griffith,F,25,08:02.2
236,Amy Testa,F,35,08:06.0
96,Cyehna Garrett,F,37,08:07.0
54,Steve Bottona,M,62,08:09.1
13,Melissa Lallas,F,57,08:10.5
200,Jasey Sanders,F,27,08:11.8
176,Katrina Pfister,F,40,08:12.6
280,Bekenson Pierre,M,31,08:13.8
26,Aseye Ablordeppey,F,31,08:16.2
157,Michelle Moreno,F,54,08:16.2
19,Erin Gercken,F,39,08:19.8
223,Douglas Stryjewski,M,56,08:20.4
160,Danielle Nappi,F,36,08:28.6
77,Elizabeth Dennis,F,56,08:40.1
1,Gail Duran,F,55,08:44.0
45,David Bass,M,59,08:47.9
50,Brian Berg,M,29,08:52.7
197,Ryan Ruddy,M,35,08:56.5
102,Candace Griffin,F,44,08:58.8
213,John Shepard,M,58,09:02.7
48,Steve Bell,M,57,09:03.6
52,Mike Blithe,M,39,09:04.2
188,Paul Riccardi,M,54,09:06.2
224,Paula Stryjewski,F,55,09:07.8
230,Jahaira Tawasha,F,44,09:18.4
245,Greg Vasturino,M,56,09:29.9
240,Lorraine Turner,F,60,09:30.1
186,Dennis Reineke,M,72,09:39.6
198,Shannon Ruddy,F,34,09:40.3
88,Sierra Duran,F,23,10:09.7
174,Luisa Pena,F,66,10:32.0
53,Joshua Bolander,M,23,10:35.4
81,Angel Diaz,M,29,10:53.2
266,Mias Williams,M,25,10:54.9
140,Leann Maloney,F,47,10:55.8
70,Evan Cotroneo,M,27,11:15.1
137,Racquel Lopez,F,24,11:35.3
2,Eddie Fisher,M,65,11:44.7
42,Jillian Balic,F,43,11:55.0
44,Ayana Barrow,F,35,12:20.7
276,Kristy Clark,F,44,12:22.7
59,Meg Callahan,F,62,12:30.3
275,Syssau Drara,F,43,12:46.2
29,Felix Alicea,M,53,12:54.8
8,Rebecca Addison,F,34,12:59.3
192,Elainne Rodriguez,F,45,12:59.9
251,John Weir,M,63,13:00.3
156,Judeen Molyneaux,F,31,13:02.9
182,Valerie Redman,F,70,13:06.5
108,Catherine Hagan,F,52,15:05.6
11,Dale Turner,M,64,16:07.0
269,Donna Chiodo,F,70,17:00.9
203,Alicia Schwan,F,39,17:08.2
169,Gissett Ortiz,F,35,18:15.8
14,Sally Wolfe,F,75,18:42.3
122,Jeasy Justiniano,F,44,19:07.7
210,Sherry Selby,F,59,19:12.7
191,Christopher Rodriguez,M,24,19:26.9
87,Mike Duran,M,56,19:33.1
221,Robert Soto,M,24,46:15.2
