2017 milwaukee FFA sprint
2017-3-18

50
8,Robert Liking,,M,6:05,6:20,6:35,6:38,7:04,7:07,7:43,47:32
38,Joshua Duncan,,M,6:15,7:25,7:32,7:15,7:13,7:04,7:29,50:13
123,Holly LaVesser,,F,6:53,7:09,7:13,7:34,7:51,8:23,,45:03
103,Dan Ruge,,M,8:21,7:40,7:47,7:30,7:54,7:48,,47:00
127,David Lutz,,M,7:26,8:40,7:49,8:37,8:30,8:22,,49:24
63,Jamison Burish,,M,8:12,8:41,8:31,8:41,8:39,8:51,,51:35
122,Chris LaVesser,,M,7:58,8:24,8:38,8:53,8:53,11:00,,53:46
1,Josh Jackett,,M,6:53,9:37,9:05,9:14,9:28,10:03,,54:20
98,Ken Olszewski,,M,8:05,8:57,9:20,9:20,9:30,9:53,,55:05
9,Tom Liking,,M,7:28,8:11,9:03,9:51,9:24,11:18,,55:15
143,Renee Mabie,,F,9:14,8:41,9:03,9:25,9:17,9:40,,55:20
92,Evan McDoniels,,M,8:44,8:43,9:13,9:26,9:53,10:50,,56:49
6,Charles Bower,,M,8:39,9:35,10:04,10:08,9:52,10:48,,59:06
2,Sheryl Leonard-Schneck,,F,8:06,9:04,9:30,9:50,9:55,,,46:25
83,Larry Hennis,,M,8:04,8:58,9:24,9:31,10:34,,,46:31
20,Liz Mueller,,F,8:46,9:01,9:23,10:02,10:10,,,47:22
7,Andy Hanson,,M,8:16,9:37,10:18,9:58,9:49,,,47:58
117,Jonathon Heinemann,,M,9:48,9:37,10:03,9:41,9:18,,,48:27
99,Jill Paha,,F,7:58,9:32,10:03,10:04,11:14,,,48:51
12,Kristen Strahan,,F,9:15,9:47,9:59,9:55,10:16,,,49:12
142,Paul Steffen,,M,9:04,9:23,10:01,10:15,10:48,,,49:31
21,Garrett Allen,,M,8:06,9:30,10:27,11:07,11:28,,,50:38
109,Rosalba Uribe,,F,8:52,10:04,10:35,10:47,10:45,,,51:03
65,Danielle Simonovic,,F,10:00,10:29,10:40,10:54,10:24,,,52:27
11,Harish Nambiar,,M,8:23,11:06,10:44,11:11,11:13,,,52:37
58,Noel Brue,,F,9:41,10:33,10:39,10:50,11:17,,,53:00
64,Joe Senner,,M,8:50,10:31,10:51,11:42,11:20,,,53:14
1349,Jenni Soto,,F,10:16,10:27,11:14,10:31,10:55,,,53:23
118,Phil Roemaat,,M,9:40,10:43,11:06,11:00,11:25,,,53:54
119,Jon Skavlem,,M,9:55,10:43,11:08,11:05,11:25,,,54:16
102,Jeff Rockteacher,,M,9:28,10:31,11:32,12:05,12:38,,,56:14
68,Todd Niehoff,,M,10:26,10:54,11:52,11:45,11:41,,,56:38
86,Jeff Luedtke,,M,10:33,10:59,11:46,12:00,12:07,,,57:25
27,Scott Johannes,,M,12:04,10:18,11:02,11:28,12:53,,,57:45
10,Tom McGee,,M,10:33,11:45,11:50,12:14,12:29,,,58:51
115,Mark Chelmowski,,M,10:23,11:01,11:50,12:19,13:22,,,58:55
96,Joe Mrozinski,,M,9:45,11:36,13:12,12:38,13:09,,,1:00:20
15,Joe Becker,,M,9:57,10:55,11:28,12:56,15:40,,,1:00:56
116,David Heller,,M,10:19,12:27,12:45,12:17,13:09,,,1:00:57
