2019 FFA Springfield
2019-3-24

100
15,Brian Yoshino,,M,8,0:51:08,0:04:20,0:06:38,0:06:40,0:07:06,0:06:44,0:06:59,0:06:18,0:06:24,,,,
44,Jeff Tzucker,,M,8,0:51:12,0:05:27,0:05:29,0:05:46,0:06:36,0:06:52,0:06:44,0:06:53,0:07:25,,,,
19,Coy Grossner,,M,8,0:51:49,0:04:36,0:04:47,0:06:04,0:07:11,0:09:03,0:07:19,0:06:58,0:05:52,,,,
27,Harish Nambiar,,M,8,0:52:21,0:04:30,0:06:42,0:06:17,0:06:40,0:07:13,0:06:49,0:07:05,0:07:05,,,,
29,Megan Marston,,F,7,0:41:02,0:04:17,0:06:52,0:06:04,0:05:55,0:05:59,0:05:55,0:06:01,,,,,
54,Diana Hanley,,F,7,0:44:51,0:05:33,0:05:55,0:06:24,0:07:27,0:06:32,0:06:29,0:06:30,,,,,
43,Jordan Wittland,,M,7,0:46:33,0:05:10,0:05:29,0:06:06,0:06:42,0:07:56,0:08:05,0:07:04,,,,,
50,Van Wirth,,M,7,0:46:34,0:04:49,0:05:33,0:06:47,0:06:52,0:07:26,0:07:41,0:07:26,,,,,
37,John Alt,,M,7,0:47:00,0:04:56,0:06:13,0:06:46,0:07:09,0:06:59,0:07:28,0:07:29,,,,,
17,Jill Paha,,F,7,0:47:11,0:04:09,0:08:08,0:06:46,0:06:53,0:06:46,0:07:13,0:07:15,,,,,
70,Jeffrey Williams,,M,7,0:49:08,0:05:48,0:06:50,0:07:07,0:07:02,0:07:20,0:07:29,0:07:32,,,,,
59,Jodi Gaden,,F,7,0:50:14,0:05:31,0:07:09,0:07:35,0:07:31,0:07:14,0:07:22,0:07:51,,,,,
48,Julie Boente,,F,7,0:50:20,0:05:37,0:06:24,0:06:44,0:07:05,0:07:33,0:08:11,0:08:46,,,,,
73,Tammy Day,,F,7,0:52:11,0:05:53,0:06:41,0:06:59,0:07:25,0:07:45,0:07:46,0:09:43,,,,,
61,Kristine Drew,,F,7,0:52:51,0:05:45,0:06:33,0:07:46,0:08:50,0:07:09,0:07:37,0:09:12,,,,,
71,Julie Williams,,F,7,0:54:29,0:06:27,0:07:23,0:08:04,0:08:12,0:08:08,0:08:15,0:08:00,,,,,
51,Leo Bergschneider,,M,6,0:42:12,0:04:59,0:05:41,0:06:51,0:08:24,0:07:59,0:08:19,,,,,,
