2023 Space Needle,,,,,,
2023-10-2,,,,,,
,,,,,,
,Eric Myer,,M40-49,8:22.2,502.2,
,Kathryn Elwell 2,,F50-59,8:22.7,502.7,
,Jubal Fresh,,Male-Elite,8:23.6,503.6,
,Luke Osborne,,Male-Elite,8:24.4,504.4,
,Michael Shaw,,M40-49,8:24.8,504.8,
,Sunny Katkuri,,M30-39,8:24.9,504.9,
,Tansy Merrill,,F30-39,8:26.7,506.7,
,Justin Cherveny,,M30-39,8:27.1,507.1,
,Dave DeBolt,,Male-Elite,8:29.2,509.2,
,Hemanthvarma Bhupatiraju,,M18-29,8:29.3,509.3,
,Alex Jensen,,M40-49,8:29.8,509.8,
,David Paige,,M60-69,8:29.9,509.9,
,Yousif Malik,,M40-49,8:30.6,510.6,
,Ted Levin,,M30-39,8:30.6,510.6,
,Chase Cross,,M30-39,8:31.0,511,
,Davis Little,,NB30-39,8:31.9,511.9,
,Erik Johnson,,M50-59,8:33.0,513,
,Dustin Strop,,M30-39,8:33.1,513.1,
,Barbara Maxwell,,F50-59,8:34.9,514.9,
,Benjamin Moore,,M18-29,8:35.4,515.4,
,Brendon Mittelbach,,M18-29,8:35.6,515.6,
,William Canestaro,,M30-39,8:36.6,516.6,
,James Merrill,,M40-49,8:36.8,516.8,
,Riley Schroeder,,M18-29,8:37.0,517,
,Chase Cason,,M18-29,8:37.1,517.1,
,Alison Seelbinder,,F50-59,8:37.2,517.2,
,Emily Sprague,,F18-29,8:37.3,517.3,
,Tracy Fulton,,F40-49,8:38.2,518.2,
,Martin Qian,,M30-39,8:39.4,519.4,
,Peter Francis,,M70-79,8:39.4,519.4,
,Vijay Paruchuru,,M40-49,8:40.5,520.5,
,Luke Allgeyer,,M30-39,8:41.5,521.5,
,Rai Nelson,,F40-49,8:41.5,521.5,
,Rai Nelson 2,,F40-49,8:41.7,521.7,
,Mary Seraly,,F50-59,8:43.0,523,
,Jill Marlow,,F40-49,8:43.4,523.4,
,Richard Richardson,,Male-Elite,8:43.4,523.4,
,Dahm Choi,,M40-49,8:43.8,523.8,
,Hannah Bauer,,F30-39,8:44.5,524.5,
,Nick Holton,,M30-39,8:44.8,524.8,
,Laveita Harris,,F60-69,8:45.2,525.2,
