2025 trek up the tower single                                   ,,,,,
2025-2-9                                                        ,,,,,
                                                                ,,,,,
          50                                                    ,,,,,
    1 VM29A,BEN SMAIL,,M,    1/167      5,:04                   
    2 VM29C,BEN SMAIL,35,M,        2/16   5,:21           
    3 VM29D,BEN SMAIL,35,M,        3/16   5,:24           
    4 VM29E,BEN SMAIL,35,M,        4/16   5,:29           
    5 VM29B,BEN SMAIL,35,M,        5/16   5,:29           
    6 VM29F,BEN SMAIL,35,M,        6/16   5,:30           
    7 VM29G,BEN SMAIL,35,M,        7/16   5,:32           
    8 VM29H,BEN SMAIL,35,M,        8/16   5,:45           
    9   452,JON SMAIL,35,M,        9/16   5,:45           
   10 VM10A,ELISHA HARTZELL,40,F,   1 /98   5,:50     
   11   473,STEVE KAISER,37,    M,   10 167  5,:52        
   12 VM24A,JILL PAHA,44,F,        2/98   5,:53           
   13 VM29I,BEN SMAIL,35,M,       11/16   5,:57           
   14   153,JONATHAN FOSS,31,M,   1/1 67  6,:00       
   15 VM24E,JILL PAHA,44,F,        3/98   6,:00           
   16   378,JEFF JOURNEY,48,    M,    1 98   6,:01        
   17   257,MARC REUTER,47,M    ,    2/  8  6,:08         
   18 VM29J,BEN SMAIL,35,M,       13/16   6,:10           
   19   426,CHAD PRICE,38,M,       14/1  7 6,:15          
   20 VM29K,BEN SMAIL,35,M,       15/16   6,:16           
   21   285,BENJAMIN STEPHENS,25,M,    1/41   6,:  7  
   22 VM43K,WES CONNELL,37,M    ,   16/ 67  6,:27         
   23   258,TRISTON REUTER,22,M,   2/ 41   6,:29      
   24   208,TRAVIS LOEWENS,44,M,   3/ 98   6,:33      
   25   188,CAROL HOHENTHANER,65,F,    1/13   6,:  0  
   26 VM43A,WES CONNELL,37,M    ,   17/ 67  6,:41         
   27   155,BRETT FRANKENBERGER,53,,     1/120  6:41  ,
   28 VM43B,WES CONNELL,37,M    ,   18/ 67  6,:42         
   29 VM44A,JORGE HERNANDEZ,32,M,   19/167  6,:42     
   30 VM23A,DEBBIE OFFICER,56,F,   1/ 58   6,:42      
   31 VM24C,JILL PAHA,44,F,        4/98   6,:43           
   32 VM24B,JILL PAHA,44,F,        5/98   6,:43           
   33 VM24J,JILL PAHA,44,F,        6/98   6,:44           
   34 VM24D,JILL PAHA,44,F,        7/98   6,:45           
   35   468,JOSHUA WILLITS,42,M,   4/ 98   6,:45      
   36 VM24H,JILL PAHA,44,F,        8/98   6,:46           
   37 VM43F,WES CONNELL,37,M    ,   20/ 67  6,:46         
