2025 trek up the tower single                                   ,,,,,
2025-2-9                                                        ,,,,,
   38 VM24K,JILL PAHA,44,F,        9/98   6,:46           
   39   422,TRAVIS PETERSEN,41,M,   5 /98   6,:47     
   40   254,JEREMY RELOJ,34,    M,   21 167  6,:48        
   41 VM24F,JILL PAHA,44,F,       10/98   6,:48           
   42   388,MICHAEL KOEHLER,32,M,   22/167  6,:49     
   43 VM24I,JILL PAHA,44,F,       11/98   6,:50           
   44 VM43C,WES CONNELL,37,M    ,   23/ 67  6,:50         
   45 VM10G,ELISHA HARTZELL,40,F,   12/98   6,:51     
   46 VM10E,ELISHA HARTZELL,40,F,   13/98   6,:51     
   47 VM10D,ELISHA HARTZELL,40,F,   14/98   6,:51     
   48 VM43E,WES CONNELL,37,M    ,   24/ 67  6,:53         
   49   162,AMY GOMEZ,45,F,       15/98   6,:53           
   50   446,MARK SCHUMACHER,38,M,   25/167  6,:54     
   51 VM24G,JILL PAHA,44,F,       16/98   6,:54           
   52   375,CHRISTOPHER JAMESON,36,,    26/167  6:54  ,
   53 VM42A,GEOFFREY BUCHTA,38,M,   27/167  6,:55     
   54   363,KYLE HERBER,43,M    ,    6/  8  6,:56         
   55 VM10F,ELISHA HARTZELL,40,F,   17/98   6,:59     
   56 VM42B,GEOFFREY BUCHTA,38,M,   28/167  7,:00     
   57   132,TERRY COMSTOCK,54,M,   2/ 120  7,:02      
   58   290,BYRON THOMPSON,31,M,   9/ 167  7,:03      
   59   301,DAREN KONDA,48,M    ,    7/  8  7,:03         
   60   181,NATE HAZUKA,36,M    ,   30/ 67  7,:03         
   61   315,JACLYN ARENS,28,    F,    1 53   7,:04        
   62 VM43H,WES CONNELL,37,M    ,   31/ 67  7,:05         
   63   297,SHAWN VAUGHAN,35,M,   3/1 67  7,:06       
   64 VM42C,GEOFFREY BUCHTA,38,M,   33/167  7,:08     
   65 VM41A,JACOB ANDERSON,30,M,   4/ 167  7,:08      
   66   342,CALEB EADIE,23,M    ,    3/  1  7,:09         
   67 VM43J,WES CONNELL,37,M    ,   35/ 67  7,:09         
   68 VM10H,ELISHA HARTZELL,40,F,   18/98   7,:10     
   69 VM43I,WES CONNELL,37,M    ,   36/ 67  7,:11         
   70 VM10I,ELISHA HARTZELL,40,F,   19/98   7,:11     
   71 VM23B,DEBBIE OFFICER,56,F,   2/ 58   7,:12      
   72   336,HANNAH DEHART,24,F,    /5 3   7,:13       
   73 VM43G,WES CONNELL,37,M    ,   37/ 67  7,:15         
   74 VM10K,ELISHA HARTZELL,40,F,   20/98   7,:18     
   75 VM10J,ELISHA HARTZELL,40,F,   21/98   7,:18     
   76 VM42F,GEOFFREY BUCHTA,38,M,   38/167  7,:20     
   77 VM43D,WES CONNELL,37,M    ,   39/ 67  7,:22         
   78 VM42E,GEOFFREY BUCHTA,38,M,   40/167  7,:24     
   79 VM10C,ELISHA HARTZELL,40,F,   22/98   7,:26     
   80   219,JEREMIAH MERRIMAN,22,M,    4/41   7,:  8  
   81 VM42D,GEOFFREY BUCHTA,38,M,   41/167  7,:32     
   82  VM3A,DEON BILLINGSLEY,43,M,    8/98   7,:3     
   83 VM42G,GEOFFREY BUCHTA,38,M,   42/167  7,:34     
   84 VM42H,GEOFFREY BUCHTA,38,M,   43/167  7,:35     
   85 VM42K,GEOFFREY BUCHTA,38,M,   44/167  7,:36     
   86 VM13F,JASON JONES,44,M    ,    9/  8  7,:37         
   87 VM23C,DEBBIE OFFICER,56,F,   3/ 58   7,:38      
   88   215,JOE MATTIA,37,M,       45/1  7 7,:38          
   89   373,NATE IVERSON,26,    M,    5 41   7,:42        
   90   261,WILLIAM ROCK,41,    M,   10 98   7,:43        
   91 VM42J,GEOFFREY BUCHTA,38,M,   46/167  7,:44     
   92 VM13B,JASON JONES,44,M    ,   11/  8  7,:46         
   93   448,COLE SHOTKOSKI,24,M,   6/ 41   7,:47      
   94 VM13A,JASON JONES,44,M    ,   12/  8  7,:50         
   95 VM10B,ELISHA HARTZELL,40,F,   23/98   7,:50     
   96 VM14B,DAVID KELLER,58,    M,    3 120  7,:51        
   97   317,ROBERT BALDI,44,    M,   13 98   7,:52        
   98 VM13E,JASON JONES,44,M    ,   14/  8  7,:52         
   99 VM40A,STEVE STERMER,67,M,    /6 3   7,:52       
  100  VM3B,DEON BILLINGSLEY,43,M,  1 5/98   7,:5     
  101 VM13D,JASON JONES,44,M    ,   16/  8  7,:53         
  102 VM42I,GEOFFREY BUCHTA,38,M,   47/167  7,:54     
  103   474,JAKE HOHENTHANER,36,M,  4 8/167  7,:5     
  104 VM13C,JASON JONES,44,M    ,   17/  8  7,:56         
  105 VM23D,DEBBIE OFFICER,56,F,   4/ 58   7,:57      
  106    74,JARRET WIDHALM,26,M,   7/ 41   7,:58      
  107 VM13H,JASON JONES,44,M    ,   18/  8  8,:01         
  108   218,ADAM MCQUISTAN,37,M,   9/ 167  8,:04      
  109  VM3K,DEON BILLINGSLEY,43,M,  1 9/98   8,:0     
  110 VM23F,DEBBIE OFFICER,56,F,   5/ 58   8,:04      
  111 VM26A,CATHERINE RIVIER,44,F,  2 4/98   8,:0     
  112   217,ALEX MCINTYRE,32,M,   5/1 67  8,:07       
  113 VM30A,CHRIS THEIS,38,M    ,   51/ 67  8,:07         
  114 VM13K,JASON JONES,44,M    ,   20/  8  8,:07         
  115 VM13G,JASON JONES,44,M    ,   21/  8  8,:09         
  116 VM23E,DEBBIE OFFICER,56,F,   6/ 58   8,:09      
  117 VM13J,JASON JONES,44,M    ,   22/  8  8,:09         
  118   116,RICK BOSE,67,M,        2/63   8,:09           
  119  VM5A,BRADLEY CARVER,51,M,   4/ 120  8,:11      
  120   401,NIKKI LONGLEE,45,F,   2/9 8   8,:11       
  121 VM14A,DAVID KELLER,58,    M,    5 120  8,:12        
  122 VM23G,DEBBIE OFFICER,56,F,   7/ 58   8,:14      
  123 VM30B,CHRIS THEIS,38,M    ,   52/ 67  8,:14         
  124 VM13I,JASON JONES,44,M    ,   23/  8  8,:15         
  125 VM23H,DEBBIE OFFICER,56,F,   8/ 58   8,:16      
  126 VM44B,JORGE HERNANDEZ,32,M,   53/167  8,:16     
  127   151,PAUL FOLKERS,60,    M,    3 63   8,:16        
  128  VM5B,BRADLEY CARVER,51,M,   6/ 120  8,:19      
  129   316,BRANDON BAILEY,41,M,   4/ 98   8,:21      
  130  VM3C,DEON BILLINGSLEY,43,M,  2 5/98   8,:2     
  131   464,LIAM WARD,24,M,        8/41   8,:24           
  132  VM3D,DEON BILLINGSLEY,43,M,  2 6/98   8,:2     
  133  VM9A,DAVID HANLEY,52,    M,    7 120  8,:25        
  134   195,GRETCHEN JONES,46,F,   6/ 98   8,:26      
  135 VM23K,DEBBIE OFFICER,56,F,   9/ 58   8,:28      
  136 VM40B,STEVE STERMER,67,M,    /6 3   8,:29       
  137   236,ERIK NOEL,51,M,        8/12   8,:29           
  138   269,PAUL SAENZ,63,M,        5/6    8,:29          
  139 VM40C,STEVE STERMER,67,M,    /6 3   8,:30       
  140   296,LINDSEY VAUGHAN,35,F,   1 /124  8,:31     
  141   507,THOMAS BASTIEN,51,M,   9/ 120  8,:31      
  142 VM28A,GRANT SCHULTE,42,M,   2/9 8   8,:32       
  143 VM23I,DEBBIE OFFICER,56,F,   0/ 58   8,:32      
  144   490,ANDREW BAUMAN,41,M,   2/9 8   8,:32       
  145  VM3E,DEON BILLINGSLEY,43,M,  2 9/98   8,:3     
  146  VM9B,DAVID HANLEY,52,    M,   10 120  8,:34        
  147   352,ARIANNA GOLDSTEIN,37,F,    2/124  8,:  6  
  148   447,ERICA SEARCEY,43,F,   2/9 8   8,:36       
  149   305,RYAN WOLFE,33,M,       54/1  7 8,:36          
  150   126,HILARY CARL,43,F    ,   28/  8  8,:36         
  151   193,NICHOLAS IVERSON,21,M,    9/41   8,:3     
  152   207,JACOB LOBERG,28,    M,   10 41   8,:36        
  153 VM44F,JORGE HERNANDEZ,32,M,   55/167  8,:37     
  154   161,MIKE GLIWA,53,M,       11/1  0 8,:37          
  155  VM5F,BRADLEY CARVER,51,M,   2/ 120  8,:37      
  156 VM23J,DEBBIE OFFICER,56,F,   1/ 58   8,:37      
  157  VM5G,BRADLEY CARVER,51,M,   3/ 120  8,:40      
  158  VM3I,DEON BILLINGSLEY,43,M,  3 0/98   8,:4     
  159 VM44C,JORGE HERNANDEZ,32,M,   56/167  8,:41     
  160  VM5C,BRADLEY CARVER,51,M,   4/ 120  8,:42      
  161   159,RICK GILBERT,61,    M,    7 63   8,:43        
  162  VM4A,JEREMY BRICK,50,    M,   15 120  8,:43        
  163  VM9D,DAVID HANLEY,52,    M,   16 120  8,:43        
  164   167,JEFF HAGEMAN,60,    M,    8 63   8,:44        
  165  VM3G,DEON BILLINGSLEY,43,M,  3 1/98   8,:4     
  166   198,ERIKA KAMPSCHNIEDER,33,,     3/124  8:45  ,
  167 VM40F,STEVE STERMER,67,M,    /6 3   8,:46       
  168 VM44G,JORGE HERNANDEZ,32,M,   57/167  8,:47     
  169 VM25B,DAVE PECHA,49,M,       32/9    8,:47          
  170  VM9K,DAVID HANLEY,52,    M,   17 120  8,:47        
  171 VM40E,STEVE STERMER,67,M,   1/6 3   8,:47       
  172  VM5E,BRADLEY CARVER,51,M,   8/ 120  8,:49      
  173 VM12A,KARI JOHNSON,51,    F,   12 58   8,:50        
  174  VM9C,DAVID HANLEY,52,    M,   19 120  8,:50        
  175   263,RYAN ROUSE,19,M,        1/3    8,:50          
  176   387,JONI KLUSMAN,51,    F,   13 58   8,:50        
  177 VM44D,JORGE HERNANDEZ,32,M,   58/167  8,:51     
  178   431,BRAD RATLIFF,44,    M,   33 98   8,:51        
  179 VM14C,DAVID KELLER,58,    M,   20 120  8,:51        
  180 VM40D,STEVE STERMER,67,M,   1/6 3   8,:52       
  181 VM44E,JORGE HERNANDEZ,32,M,   59/167  8,:52     
  182  VM9E,DAVID HANLEY,52,    M,   21 120  8,:52        
  183 VM14H,DAVID KELLER,58,    M,   22 120  8,:52        
  184   345,MARIA FLORES,36,    F,    4 124  8,:53        
  185  VM3J,DEON BILLINGSLEY,43,M,  3 4/98   8,:5     
  186 VM41G,JACOB ANDERSON,30,M,   0/ 167  8,:53      
  187 VM25A,DAVE PECHA,49,M,       35/9    8,:54          
  188 VM14G,DAVID KELLER,58,    M,   23 120  8,:54        
  189   368,GERI HORTON,43,F    ,   29/  8  8,:55         
  190 VM14F,DAVID KELLER,58,    M,   24 120  8,:55        
  191  VM5D,BRADLEY CARVER,51,M,   5/ 120  8,:55      
  192   282,PHILL SMITH,34,M    ,   61/ 67  8,:56         
  193 VM30C,CHRIS THEIS,38,M    ,   62/ 67  8,:56         
  194  VM3F,DEON BILLINGSLEY,43,M,  3 6/98   8,:5     
  195 VM41H,JACOB ANDERSON,30,M,   3/ 167  8,:56      
  196 VM26B,CATHERINE RIVIER,44,F,  3 0/98   8,:5     
  197   376,STACIA JAMESON,32,F,   5/ 124  8,:57      
  198 VM44H,JORGE HERNANDEZ,32,M,   64/167  8,:59     
  199  VM3H,DEON BILLINGSLEY,43,M,  3 7/98   8,:5     
  200 VM14E,DAVID KELLER,58,    M,   26 120  9,:00        
  201   491,DANIEL ENGSTROM,36,M,   65/167  9,:00     
  202   140,STEPHEN DORCEY,43,M,   8/ 98   9,:00      
  203   187,ERICA HINTON,29,    F,    3 53   9,:02        
  204 VM30I,CHRIS THEIS,38,M    ,   66/ 67  9,:03         
  205 VM14I,DAVID KELLER,58,    M,   27 120  9,:04        
  206   457,NATHAN THOMAS,40,M,   3/9 8   9,:05       
  207 VM25J,DAVE PECHA,49,M,       40/9    9,:05          
  208 VM12C,KARI JOHNSON,51,    F,   14 58   9,:06        
  209 VM41J,JACOB ANDERSON,30,M,   7/ 167  9,:06      
  210 VM30G,CHRIS THEIS,38,M    ,   68/ 67  9,:06         
  211 VM25C,DAVE PECHA,49,M,       41/9    9,:06          
  212 VM41E,JACOB ANDERSON,30,M,   9/ 167  9,:08      
  213   329,RICHARD CANIGLIA,44,M,  4 2/98   9,:0     
  214 VM25E,DAVE PECHA,49,M,       43/9    9,:08          
  215  VM9G,DAVID HANLEY,52,    M,   28 120  9,:08        
  216    56,KEVIN LONGCHAMPS,38,M,  7 0/167  9,:1     
  217 VM41I,JACOB ANDERSON,30,M,   1/ 167  9,:10      
  218  VM9F,DAVID HANLEY,52,    M,   29 120  9,:10        
  219   322,BRUCE BOCKMAN,32,M,   7/1 67  9,:11       
  220   444,CAITLENE SANTOS,22,F,   4 /53   9,:11     
  221 VM25F,DAVE PECHA,49,M,       44/9    9,:12          
  222 VM12B,KARI JOHNSON,51,    F,   15 58   9,:13        
  223   119,CHAD BRODERSEN,50,M,   0/ 120  9,:15      
  224 VM12D,KARI JOHNSON,51,    F,   16 58   9,:17        
  225   358,CHRISTINE HAMMANS,50,F,   17/58   9,:  7  
  226 VM14J,DAVID KELLER,58,    M,   31 120  9,:17        
  227   362,LONNI HELM,24,F,        5/5    9,:17          
  228 VM26E,CATHERINE RIVIER,44,F,  3 1/98   9,:1     
  229   214,JESSICA MATHER,34,F,   6/ 124  9,:17      
  230 VM41F,JACOB ANDERSON,30,M,   3/ 167  9,:18      
  231  VM5H,BRADLEY CARVER,51,M,   2/ 120  9,:19      
  232 VM41B,JACOB ANDERSON,30,M,   4/ 167  9,:20      
  233  VM1A,MARK ADAMSON,69,    M,   12 63   9,:20        
  234 VM27A,MIKE SCHIEFELBEIN,65,M,   13/63   9,:  0  
  235  VM4B,JEREMY BRICK,50,    M,   33 120  9,:21        
  236 VM19A,KATARZYNA LEWANDOWSK,39F,     7/124  ,:2 1,
  237   338,KEITH DOWELL,70,    M,    1 14   9,:21        
  238 VM44I,JORGE HERNANDEZ,32,M,   75/167  9,:21     
  239  VM9H,DAVID HANLEY,52,    M,   34 120  9,:24        
  240   137,LESLIE DAY,59,F,       18/5    9,:24          
  241 VM40G,STEVE STERMER,67,M,   1/6 3   9,:26       
  242 VM28B,GRANT SCHULTE,42,M,   4/9 8   9,:26       
  243 VM26G,CATHERINE RIVIER,44,F,  3 2/98   9,:2     
  244   171,HUNTER HANSON,24,M,   1/4 1   9,:26       
  245  VM5I,BRADLEY CARVER,51,M,   5/ 120  9,:27      
  246   220,SARAH MEYER,41,F    ,   33/  8  9,:27         
  247  VM9J,DAVID HANLEY,52,    M,   36 120  9,:27        
  248 VM25D,DAVE PECHA,49,M,       46/9    9,:27          
  249 VM26D,CATHERINE RIVIER,44,F,  3 4/98   9,:2     
  250 VM30J,CHRIS THEIS,38,M    ,   76/ 67  9,:29         
  251 VM28D,GRANT SCHULTE,42,M,   4/9 8   9,:29       
  252   197,TIMOTHY KALANTJAKOS,34,,    77/167  9:30  ,
  253   319,ANDREW BISHOP,36,M,   7/1 67  9,:30       
  254  VM9I,DAVID HANLEY,52,    M,   37 120  9,:31        
  255   127,LINDSAY CARROLL,36,F,   8 /124  9,:31     
  256   380,JOYCE JUZA,42,F,       35/9    9,:31          
  257 VM14K,DAVID KELLER,58,    M,   38 120  9,:31        
  258 VM30E,CHRIS THEIS,38,M    ,   79/ 67  9,:32         
  259   361,KELSEY HASCH,24,    F,    6 53   9,:32        
  260 VM12E,KARI JOHNSON,51,    F,   19 58   9,:33        
  261 VM28K,GRANT SCHULTE,42,M,   4/9 8   9,:33       
  262 VM26C,CATHERINE RIVIER,44,F,  3 6/98   9,:3     
  263 VM30F,CHRIS THEIS,38,M    ,   80/ 67  9,:34         
  264 VM26F,CATHERINE RIVIER,44,F,  3 7/98   9,:3     
  265   271,TONYA SALCEDO-NOEL,47,F    38/98   9, 34  ,
  266   449,LARRY SHOTKOSKI,59,M,   39/120  9,:34     
  267   279,CHANCE SIPPLE,30,M,   8/1 67  9,:35       
  268  VM5J,BRADLEY CARVER,51,M,   0/ 120  9,:35      
  269 VM25I,DAVE PECHA,49,M,       49/9    9,:35          
  270 VM32A,RYAN THURMAN,36,    M,   82 167  9,:36        
  271 VM30K,CHRIS THEIS,38,M    ,   83/ 67  9,:37         
  272 VM30H,CHRIS THEIS,38,M    ,   84/ 67  9,:37         
  273   386,SUZIE KINGERY,34,F,    /1 24  9,:37       
  274 VM26H,CATHERINE RIVIER,44,F,  3 9/98   9,:3     
  275 VM25G,DAVE PECHA,49,M,       50/9    9,:37          
  276 VM14D,DAVID KELLER,58,    M,   41 120  9,:37        
  277   196,KRISTIE JONES,49,F,   4/9 8   9,:39       
  278 VM12F,KARI JOHNSON,51,    F,   20 58   9,:40        
  279   439,MADDIE ROMANS,17,F,    /2     9,:40       
  280   158,NICK GILBERT,41,    M,   51 98   9,:41        
  281 VM26I,CATHERINE RIVIER,44,F,  4 1/98   9,:4     
  282   303,QUINDELL WILSON,48,M,   52/98   9,:42     
  283  VM4C,JEREMY BRICK,50,    M,   42 120  9,:43        
  284   379,KEVIN JUON,47,M,       53/9    9,:43          
  285   199,KEVIN KATHKA,56,    M,   43 120  9,:43        
  286 VM28G,GRANT SCHULTE,42,M,   5/9 8   9,:44       
  287 VM41K,JACOB ANDERSON,30,M,   5/ 167  9,:44      
  288   150,JACOB FEDORCHIK,29,M,   12/41   9,:44     
  289   425,ALYSSA POTMESIL,33,F,   10/124  9,:44     
  290 VM30D,CHRIS THEIS,38,M    ,   86/ 67  9,:45         
  291   460,BETH TRECEK,25,F    ,    7/  3  9,:47         
  292 VM40H,STEVE STERMER,67,M,   1/6 3   9,:47       
  293  VM5K,BRADLEY CARVER,51,M,   4/ 120  9,:48      
  294   475,DANIEL KOHLER,52,M,   4/1 20  9,:48       
  295   210,NATASHA LOPEZ,45,F,   4/9 8   9,:49       
  296   424,CALE PETERSON,17,M,    /3     9,:49       
  297   133,GARY CONWAY,69,M    ,   16/  3  9,:49         
  298 VM12G,KARI JOHNSON,51,    F,   21 58   9,:49        
  299 VM12H,KARI JOHNSON,51,    F,   22 58   9,:49        
  300 VM25H,DAVE PECHA,49,M,       55/9    9,:50          
  301   353,MITCHELL GRAVES,23,M,   13/41   9,:52     
  302 VM28C,GRANT SCHULTE,42,M,   5/9 8   9,:53       
  303 VM41C,JACOB ANDERSON,30,M,   7/ 167  9,:54      
  304   276,ALEXA SHANAHAN,30,F,   1/ 124  9,:54      
  305 VM25K,DAVE PECHA,49,M,       57/9    9,:55          
  306 VM28E,GRANT SCHULTE,42,M,   5/9 8   9,:56       
  307 VM39A,LEM SHEARD,45,M,       59/9    9,:57          
  308 VM17A,TIFFANY LAW,35,F    ,   12/ 24  9,:57         
  309   369,MICHELLE HUPFER,55,F,   23/58  10,:01     
  310   274,COLLIN SCHOEPPNER,34,M,   88/167 10,:  1  
  311   445,ALLY SCHILMOELLER,22,F,    8/53  10,:  1  
  312   206,KENNETH LISCUM,33,M,   9/ 167 10,:01      
  313   408,LIZA MASTERS,42,    F,   43 98  10,:01        
  314   154,CRYSTAL FOUST-NEKORAN,3,F ,   13/124 0,: 0 2
  315   108,JACOB BARRETT,33,M,   9/1 67 10,:03       
  316 VM41D,JACOB ANDERSON,30,M,   1/ 167 10,:04      
  317   123,ALEXIS CARDER,23,F,    /5 3  10,:05       
  318  VM1B,MARK ADAMSON,69,    M,   17 63  10,:05        
  319   165,MANISH GUPTA,38,    M,   92 167 10,:05        
  320 VM28H,GRANT SCHULTE,42,M,   6/9 8  10,:06       
  321  VM4D,JEREMY BRICK,50,    M,   46 120 10,:06        
  322   406,CLAIRE MARTIN,25,F,   1/5 3  10,:07       
  323   402,BRYAN LUCKE,31,M    ,   93/ 67 10,:07         
  324 VM28I,GRANT SCHULTE,42,M,   6/9 8  10,:07       
  325   451,WILLIAM SIPPEL,27,M,   4/ 41  10,:08      
  326 VM21C,TRAVIS MOOD,56,M    ,   47/ 20 10,:09         
  327  VM7A,LAUREN DOESCHOT,28,F,   11/53  10,:09     
  328 VM32B,RYAN THURMAN,36,    M,   94 167 10,:10        
  329   326,SARAH BRUGGER,33,F,   1/1 24 10,:10       
  330   381,BETSY KAHLANDT,44,F,   4/ 98  10,:10      
  331 VM12I,KARI JOHNSON,51,    F,   24 58  10,:11        
  332 VM28J,GRANT SCHULTE,42,M,   6/9 8  10,:12       
  333   147,MARY ELLIOT,63,F    ,    2/  3 10,:14         
  334   194,BRANDON JONES,37,M,   9/1 67 10,:16       
  335   325,COLE BROWNSEN,28,M,   1/4 1  10,:16       
  336 VM26J,CATHERINE RIVIER,44,F,  4 5/98  10,:1     
  337   294,RYAN TOVEY,40,M,       63/9   10,:19          
  338 VM28F,GRANT SCHULTE,42,M,   6/9 8  10,:19       
  339   471,PATRICK CANIGLIA,38,M,  9 6/167 10,:1     
  340   235,AIMEE NOEL,53,F,       25/5   10,:19          
  341   232,CONNOR NETH,33,M    ,   97/ 67 10,:21         
  342   310,PIERCE ADAJAR,26,M,   1/4 1  10,:21       
  343    80,GALAT TOANG,31,M    ,   98/ 67 10,:21         
  344   221,JOHN MILLER,44,M    ,   65/  8 10,:23         
  345 VM32C,RYAN THURMAN,36,    M,   99 167 10,:23        
  346   410,AMY MCCOY,50,F,       26/58 1 0,:25           
  347   489,JAMES RADLE,51,M    ,   48/ 20 10,:29         
  348   411,COLLEEN MCCOY,50,F,   2/5 8  10,:29       
  349   360,LOGAN HARRIS,31,    M,   00 167 10,:30        
  350   275,ANTONY SEVERSON,44,M,   66/98  10,:30     
  351 VM31A,KYLIE THURMAN,39,F,   1/1 24 10,:30       
  352   200,ADAM KILLINGSWORTH,40,M    67/98  10, 30  ,
  353   334,LARRY COHOON,60,    M,   18 63  10,:31        
  354   496,ANDREA HENNINGS,36,F,   16/124 10,:31     
  355 VM34A,TABITHA UBBINGA,36,F,   17/124 10,:32     
  356   182,ANN HEGSTROM,68,    F,    3 13  10,:32        
  357   268,GREG RUSWICK,39,    M,   01 167 10,:34        
  358  VM4E,JEREMY BRICK,50,    M,   49 120 10,:34        
  359   260,MARK ROBERTSON,52,M,   0/ 120 10,:35      
  360   394,JAMIE LAINSON,39,F,   1/1 24 10,:35       
  361   186,EMILY HEYWOOD,28,F,   1/5 3  10,:37       
  362   149,DREW ERICKSON,33,M,   0/1 67 10,:39       
  363   432,SARAH REED,41,F,       46/9   10,:40          
  364 VM12J,KARI JOHNSON,51,    F,   28 58  10,:40        
  365 VM33A,PAXTON UBBINGA,39,M,   3/ 167 10,:41      
  366 VM40I,STEVE STERMER,67,M,   1/6 3  10,:42       
  367   428,MILAN RAI,37,M,       04/16 1 0,:42           
  368   157,MIKI GILBERT,60,    F,    4 13  10,:43        
  369 VM26K,CATHERINE RIVIER,44,F,  4 7/98  10,:4     
  370 VM37A,LESLIE GORDON,45,F,   4/9 8  10,:43       
  371  VM1C,MARK ADAMSON,69,    M,   20 63  10,:45        
  372   372,MIRANDA HUSTON,31,F,   9/ 124 10,:46      
  373 VM31C,KYLIE THURMAN,39,F,   2/1 24 10,:47       
  374   506,MIGUEL REYNA JR,27,M,   17/41  10,:49     
  375   438,DILLON ROMANS,18,M,    /3    10,:49       
  376 VM22A,CONNOR O'BRIEN,33,M,   5/ 167 10,:50      
  377 VM31B,KYLIE THURMAN,39,F,   2/1 24 10,:50       
  378   168,BRIAN HALE,41,M,       68/9   10,:50          
  379 VM17C,TIFFANY LAW,35,F    ,   22/ 24 10,:51         
  380 VM20A,CLAIRE MARKHAM,36,F,   3/ 124 10,:53      
  381   304,BRANDON WINGETT,34,M,    6/167 10,:53     
  382   492,SHEILA VALQUIER,33,F,   24/124 10,:54     
  383   205,CHELSEA LISCUM,32,F,   5/ 124 10,:54      
  384  VM4F,JEREMY BRICK,50,    M,   51 120 10,:54        
  385   267,ALLISON RUSWICK,36,F,   26/124 10,:54     
  386   291,HEATHER THORSON,34,F,   27/124 10,:54     
  387  VM7B,LAUREN DOESCHOT,28,F,   13/53  10,:55     
  388 VM40J,STEVE STERMER,67,M,   2/6 3  10,:55       
  389 VM15J,MIKE KINNEY,52,M    ,   52/ 20 10,:56         
  390 VM17B,TIFFANY LAW,35,F    ,   28/ 24 10,:56         
  391   237,RUSSELL OATMAN,65,M,   2/ 63  10,:58      
  392   458,LUCAS THOMSEN,38,M,   0/1 67 10,:58       
  393 VM21B,TRAVIS MOOD,56,M    ,   53/ 20 10,:58         
  394 VM32D,RYAN THURMAN,36,    M,   08 167 10,:59        
  395   225,COURTNEY MOLETTIERE,42,,    49/98  11:00  ,
  396   244,KELLY PLACEK,34,    F,   29 124 11,:00        
  397   139,SONAM DIXIT,36,F    ,   30/ 24 11,:00         
  398 VM31G,KYLIE THURMAN,39,F,   3/1 24 11,:00       
  399  VM1D,MARK ADAMSON,69,    M,   23 63  11,:02        
  400 VM40K,STEVE STERMER,67,M,   2/6 3  11,:02       
  401   398,LAURA LIEKHUS,33,F,   3/1 24 11,:06       
  402  VM1H,MARK ADAMSON,69,    M,   25 63  11,:07        
  403   427,KRISTIN PRICE,38,F,   3/1 24 11,:07       
  404   409,ABBY MATTHIAS,29,F,   1/5 3  11,:07       
  405   130,PHIL CHAMBERLIN,48,M,   69/98  11,:08     
  406    68,JON SANDOVAL,44,    M,   70 98  11,:09        
  407  VM1I,MARK ADAMSON,69,    M,   26 63  11,:09        
  408 VM31K,KYLIE THURMAN,39,F,   3/1 24 11,:11       
  409   420,SCOTT OWEN,49,M,       71/9   11,:11          
