2020 oakbrook single
2020-2-8

50
45,Stephen Van Loan,,M,9:11,
46,Hal Blue,,M,9:13,
47,Rafay Zafer,,M,9:32,
48,Bruce Martinelli,,M,9:32,
49,William Johnson,,M,9:58,
50,Frank Keldermans,,M,10:17,
51,Steve Grimes,,M,10:19,
52,Bryan Cole,,M,10:38,
53,Zachary Dawson,,M,11:06,
54,Jimmy Condon,,M,11:17,
55,Pierre Marcotte,,M,11:26,
56,Jack Walsh,,M,11:28,
57,Lucas Cousin,,M,11:43,
58,Maulik Shah,,M,12:07,
59,Dan Czaruk,,M,12:42,
60,Jeff Waters,,M,12:55,
61,Joey Arroyo,,M,12:57,
62,Mike Carver,,M,13:04,
63,John Fedor,,M,13:24,
64,Richard Franger,,M,13:54,
65,John Doll,,M,13:54,
66,Bill Barber,,M,15:09,
67,Richard Schaar,,M,15:30,
68,Scott Johnson,,M,15:37,
69,"""Richard Gray",," Jr""",M,16:17
70,Christopher P Kribales,,M,16:28,
71,Tanner Atchison,,M,16:30,
72,Austin Nicholl,,M,16:37,
73,Scott Wardzala,,M,18:13,
74,Mike Frederick,,M,18:45,
75,Gus Medina,,M,19:17,
76,Chuck Timm,,M,22:34,
77,Steven Longtin,,M,24:31,
78,William Gula,,M,46:48,
