2019 Big Climb NYC PH
2019-3-1

50
,Stephen Marsalese,,M,0:49:22
,Jeffrey Gingold,,M,0:54:05
,Kabaria Mehul,,M,0:53:57
,Ken Myers,,M,0:54:03
,Thomas Rizzo,,M,0:37:22
,Charles Bower,,M,0:43:05
,Timothy Gallagher,,M,0:36:22
,Tso Kitty,,F,0:46:27
,Michael Rollhaus,,M,0:54:25
