2025 FFA Columbus, OH,,,,,
2025-02-22,,,,,,
,,,,,,
,,,,,       Pag,e 3
,                Figh, for,t,,,
,,,,,,
,              Februa,y 22,r,o,,
,,,,,,
,,,,,,
,                ====,#NAME?,=,,,
,,,,,,
Place,Name, Age,S,Time,,
Err:510,Err:510, ===,=,Err:510,,
  101,Laura Sponhour,  57,F,  12:43.0,,
  102,Thomas Jeffrey,  23,M,  12:46.0,,
  103,Michael Sponhour,  59,M,  12:47.5,,
  104,Nancy Howard,  62,F,  12:56.9,,
  105,Andy Anderson,  37,M,  13:03.7,,
  106,Jane Vanlandingham,  54,M,  13:06.7,,
  107,Ben Von Der Embse,  30,M,  13:14.1,,
  108,Heather Boylan-Shul,  46,F,  13:14.8,,
  109,Jordan Vanlandingha,  20,F,  13:27.9,,
  110,Abhish Samant,  48,M,  13:35.0,,
  111,Sully Moffett,   9,M,  13:35.8,,
  112,Hope Bordner,  33,F,  13:42.8,,
  113,Ryan Adkins,  48,M,  13:49.9,,
  114,Doug Dury,  46,M,  13:50.4,,
  115,Jim Bidigare,  68,M,  13:51.9,,
  116,Mark Darden,  34,M,  13:57.7,,
  117,Bobbie Burnworth,  37,F,  14:01.7,,
  118,Yugendra Bhide,  47,M,  14:04.9,,
  119,Michelle Croft,  56,F,  14:07.9,,
  120,Mike Avotins,  59,M,  14:09.6,,
  121,Eric Sulzer,  49,M,  14:11.8,,
  122,Tom Lacey,  54,M,  14:15.7,,
  123,Donald Cribbet,  55,M,  14:16.3,,
  124,Robert Booker,  67,M,  14:16.7,,
  125,Terrie Hottle,  53,F,  14:18.0,,
  126,Brody Poston,  21,M,  14:19.0,,
  127,Kristen Elliott,  32,F,  14:19.7,,
  128,Craig Yoder,  62,M,  14:19.9,,
  129,Tracy Patel,  46,M,  14:20.7,,
  130,Brian Murphy,  56,M,  14:23.0,,
  131,Debbie Miller,  56,F,  14:24.2,,
  132,Sean Branick,  36,M,  14:45.1,,
  133,Brittany Taylor,  25,F,  14:48.6,,
  134,Keith Ford,  56,M,  14:49.9,,
  135,Carley Auddino Polk,  29,F,  14:55.2,,
  136,Kathy Riggins,  63,F,  14:57.7,,
  137,Mark Foster,  56,M,  15:01.4,,
  138,Matt Francescon,  57,M,  15:06.4,,
  139,Amy Dury,  45,F,  15:16.2,,
  140,Brenda Ochoa,  35,F,  15:40.1,,
  141,Kailas Joshi,  47,M,  16:12.4,,
  142,David Ramsay,  56,M,  16:14.6,,
  143,Will Johnson,  43,M,  16:28.8,,
  144,Lewis Vanlandingham,  17,F,  16:54.7,,
  145,Warren Speer,  43,M,  16:55.7,,
  146,Peter Sluzele,  54,M,  16:59.3,,
  147,Rosario Auddino,  55,M,  17:13.4,,
  148,Amanda Leeman,  37,F,  17:16.1,,
  149,Brittany Root,  39,F,  17:30.9,,
  150,Shelly Breehl,  50,F,  17:42.2,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,       Pag,e 4
,                Figh, for,t,,,
,,,,,,
,              Februa,y 22,r,o,,
,,,,,,
,,,,,,
,                ====,#NAME?,=,,,
,,,,,,
Place,Name, Age,S,Time,,
Err:510,Err:510, ===,=,Err:510,,
  151,Missty Agriesti,  49,F,  17:46.9,,
  152,Hope Frederick,  45,F,  17:48.3,,
  153,William Reinking,  11,M,  17:57.8,,
  154,Jared McCann,  32,M,  17:58.2,,
  155,Kara McCann,  39,F,  18:06.2,,
  156,Bill Reinking,  47,M,  18:09.5,,
  157,Krista Trusz,  37,F,  18:22.2,,
  158,Greg Trusz,  36,M,  18:33.1,,
