2017 springfield power hour
2017-3-12

100
62,Ashley Crays,,F,7,46:56.5,05:29.6,06:15.5,06:29.6,06:49.5,07:11.2,07:15.3,07:25.7,,,,,
18,John Alt,,M,7,47:49.6,04:44.8,06:27.6,07:08.6,07:03.4,07:37.2,07:33.7,07:14.2,,,,,
23,Martin Tintori,,M,7,47:54.6,04:34.1,06:30.1,06:45.3,07:08.5,07:44.9,07:46.5,07:25.1,,,,,
59,Leo Bergschneider,,M,7,48:51.0,05:10.9,05:47.8,06:34.3,08:02.0,07:18.2,07:51.8,08:06.0,,,,,
40,Mary Fairclough,,F,7,49:14.7,06:03.0,06:44.2,06:48.2,07:22.0,07:40.0,07:18.0,07:19.4,,,,,
34,Whittney Lusk,,F,7,50:38.7,04:53.0,07:03.9,07:14.7,07:20.9,07:34.2,08:19.4,08:12.6,,,,,
837,Dave Kestel,,M,7,19:48.3,06:21.0,06:57.5,07:28.7,08:39.4,10:07.1,23:17.3,16:57.3,,,,,
12,Benjamin Creen,,M,6,27:51.0,03:21.0,04:50.3,04:30.9,04:47.1,05:10.2,05:12.5,,,,,,
53,Kristin Fyans,,F,6,39:29.7,05:55.4,05:59.0,06:44.8,07:02.8,07:08.6,06:39.2,,,,,,
68,Whitney Roberts,,F,6,40:24.9,05:20.8,07:04.0,06:45.2,07:14.3,06:36.5,07:24.1,,,,,,
54,Jackson Fyans,,M,6,40:50.0,05:59.0,06:37.1,06:52.9,07:17.3,07:13.7,06:50.1,,,,,,
8,William Sminchak,,M,6,41:11.7,03:51.0,06:32.1,07:23.0,08:15.8,08:29.1,06:40.8,,,,,,
41,Christopher Korose,,M,6,42:27.0,05:38.8,05:54.2,07:29.5,07:29.6,07:41.2,08:13.7,,,,,,
50,Becky McGrath,,F,6,47:13.4,06:41.0,07:03.9,08:08.7,09:06.1,09:29.4,06:44.3,,,,,,
51,Russ Reynolds,,M,6,50:57.3,07:25.2,07:40.1,08:09.2,08:22.9,09:28.5,09:51.5,,,,,,
46,Carrie Dorwart,,F,6,51:47.3,06:55.8,07:33.8,08:48.1,08:59.0,08:57.0,10:33.7,,,,,,
56,Lisa Klaus-Ogden,,F,6,15:36.1,07:49.4,08:54.1,11:14.4,11:18.4,24:52.6,11:27.1,,,,,,
47,Patty Loveless,,F,5,42:55.1,06:53.0,08:42.2,08:46.6,09:22.6,09:10.6,,,,,,,
55,Tina Benedetto,,F,5,04:20.4,12:18.4,13:09.9,13:34.0,11:54.8,13:23.3,,,,,,,
52,Marti Monckton,,F,5,04:26.2,08:20.8,11:08.5,23:59.6,10:37.0,10:20.4,,,,,,,
39,Miranda Sauerwein,,F,5,00:35.9,05:57.9,08:00.0,07:38.5,38:59.5,,,,,,,,
61,Tammy Cox,,F,4,28:35.2,05:06.1,09:03.4,06:52.7,07:33.1,,,,,,,,
38,Seth Roberts,,M,4,29:28.6,05:53.7,07:30.6,07:46.6,08:17.7,,,,,,,,
63,Sarah Faul,,F,4,37:59.4,07:47.6,12:34.4,09:07.9,08:29.5,,,,,,,,
57,Jennifer Thompson,,F,4,49:58.2,10:02.4,13:19.0,12:45.2,13:51.6,,,,,,,,
44,Mallory Rogers,,F,3,23:24.1,05:40.7,09:01.3,08:42.1,,,,,,,,,
45,Stephanie Hebenstreit,,F,3,24:07.4,07:05.8,08:15.7,08:45.8,,,,,,,,,
48,Emily Brown,,F,3,26:18.3,08:08.9,09:30.3,08:39.0,,,,,,,,,
66,Karena Henson,,F,3,30:31.2,07:59.6,12:33.8,09:57.9,,,,,,,,,
58,Angie Bergschneider,,F,3,37:53.2,11:02.4,13:10.0,13:40.8,,,,,,,,,
64,John Franklin,,M,1,05:47.4,05:47.4,,,,,,,,,,,
