2020 springfield power hour
2020-2-16

100
40,Chris Dienberg,,M,8,1:44:56.89,0:03:57.98,0:05:38.15,0:19:27.35,0:15:22.00,0:17:33.35,0:15:03.60,0:15:17.87,0:12:36.58,,,,,
52,Todd Emery,,M,7,0:40:33.97,0:04:21.62,0:05:44.12,0:06:01.20,0:06:18.13,0:06:28.71,0:05:46.29,0:05:53.90,,,,,,
27,Megan Marston,,F,7,0:44:09.90,0:04:02.30,0:06:40.92,0:08:07.48,0:07:22.62,0:06:03.38,0:06:06.67,0:05:46.54,,,,,,
56,Jerod Fundel,,M,7,0:46:42.56,0:05:16.46,0:06:18.21,0:06:26.28,0:06:56.14,0:07:05.06,0:07:21.37,0:07:19.03,,,,,,
28,Van Wirth,,M,7,0:47:24.82,0:04:35.69,0:06:21.86,0:07:05.30,0:07:10.21,0:07:48.38,0:06:45.76,0:07:37.63,,,,,,
22,Tom McGee,,M,7,0:47:53.79,0:05:20.89,0:06:30.81,0:06:56.21,0:07:06.59,0:07:22.08,0:07:10.12,0:07:27.08,,,,,,
54,Nancy Ferguson,,F,7,0:48:19.35,0:05:32.68,0:06:35.82,0:06:23.64,0:07:04.70,0:07:10.89,0:07:18.19,0:08:13.43,,,,,,
29,John Alt,,M,7,0:49:17.09,0:05:28.14,0:06:24.21,0:06:53.29,0:07:07.54,0:07:39.97,0:07:37.59,0:08:06.34,,,,,,
53,Mary Fairclough,,F,7,0:50:00.43,0:05:49.07,0:06:47.85,0:07:09.10,0:07:32.24,0:07:34.17,0:07:48.79,0:07:19.21,,,,,,
62,Marilyn Kirchgesner,,F,7,0:51:33.31,0:05:49.25,0:06:48.50,0:07:20.98,0:07:47.93,0:07:44.21,0:07:42.29,0:08:20.15,,,,,,
49,Peggy Bulla,,F,7,0:52:45.65,0:05:19.01,0:07:45.13,0:07:37.72,0:08:00.67,0:07:29.46,0:07:51.76,0:08:41.91,,,,,,
30,Jodi Gaden,,F,7,0:55:23.82,0:06:09.49,0:08:09.24,0:08:03.06,0:08:01.06,0:07:57.15,0:08:05.04,0:08:58.77,,,,,,
46,Erin Brand,,F,7,0:55:24.77,0:06:26.41,0:07:29.33,0:07:38.81,0:08:13.69,0:08:53.19,0:08:41.93,0:08:01.40,,,,,,
34,Paul Turner,,M,7,0:55:46.93,0:06:13.16,0:07:05.72,0:07:24.09,0:07:56.96,0:09:02.22,0:09:33.30,0:08:31.48,,,,,,
125,Marya Radunzel,,F,7,0:56:19.64,0:06:25.63,0:07:08.68,0:07:06.49,0:08:16.51,0:08:58.03,0:09:52.05,0:08:32.27,,,,,,
35,Lisa Klaus-Ogden,,F,7,0:56:58.64,0:06:04.11,0:07:33.74,0:07:51.74,0:08:37.66,0:08:06.06,0:08:29.72,0:10:15.61,,,,,,
8,Timothy Kinkelaar,,M,6,0:31:42.68,0:02:56.06,0:05:23.52,0:05:37.97,0:05:54.73,0:05:53.90,0:05:56.49,,,,,,,
66,Doug McFarland,,M,6,0:40:07.56,0:04:32.97,0:06:37.77,0:06:54.14,0:07:02.64,0:07:43.32,0:07:16.73,,,,,,,
48,Jean Broaddus,,F,6,0:42:12.76,0:05:37.99,0:06:16.55,0:07:20.18,0:07:32.26,0:07:33.44,0:07:52.34,,,,,,,
78,Jennifer Walker,,F,6,0:44:32.52,0:05:53.59,0:06:53.62,0:07:38.54,0:08:23.94,0:07:38.95,0:08:03.88,,,,,,,
65,Jennie McCormick,,F,6,0:48:58.49,0:06:46.36,0:07:57.79,0:08:04.30,0:08:13.93,0:08:47.86,0:09:08.25,,,,,,,
31,Julie Boente,,F,6,0:51:51.29,0:05:20.66,0:07:35.80,0:07:47.85,0:08:48.56,0:11:00.80,0:11:17.60,,,,,,,
33,Jill Reich,,F,6,0:52:19.93,0:06:19.81,0:08:55.28,0:09:16.20,0:09:20.16,0:08:56.67,0:09:31.81,,,,,,,
38,Carolyn Guhman,,F,6,1:00:16.38,0:07:49.45,0:08:45.90,0:09:34.45,0:10:07.63,0:12:27.49,0:11:31.46,,,,,,,
32,Leo Bergschneider,,M,5,0:30:50.62,0:04:52.67,0:05:38.89,0:06:56.11,0:06:53.11,0:06:29.84,,,,,,,,
36,Mandi Tapscott,,F,5,0:49:05.88,0:07:42.02,0:10:48.32,0:10:22.26,0:10:09.76,0:10:03.51,,,,,,,,
39,Melanie Dunn,,F,5,0:51:44.68,0:08:52.38,0:10:08.42,0:10:33.94,0:11:06.53,0:11:03.40,,,,,,,,
70,Marsha O'Loughlin,,F,5,0:51:56.82,0:07:22.77,0:09:58.81,0:11:08.95,0:11:51.61,0:11:34.67,,,,,,,,
72,Russ Reynolds,,M,5,0:53:12.41,0:08:22.59,0:09:56.52,0:10:58.59,0:11:01.24,0:12:53.46,,,,,,,,
74,Amy Taylor,,F,5,0:56:03.06,0:06:55.04,0:12:54.00,0:15:18.04,0:09:53.43,0:11:02.56,,,,,,,,
67,Thanh Melick,,M,4,0:35:42.17,0:06:37.20,0:09:01.20,0:09:04.50,0:10:59.28,,,,,,,,,
76,Kelly Turner,,F,4,0:45:38.92,0:09:29.17,0:11:46.26,0:12:40.31,0:11:43.17,,,,,,,,,
234,Kathy Seketa,,F,4,0:51:38.44,0:08:22.72,0:12:51.20,0:17:04.42,0:13:20.10,,,,,,,,,
61,Megan Kircher,,F,4,0:55:19.83,0:11:59.59,0:14:52.27,0:14:54.73,0:13:33.24,,,,,,,,,
42,Jordan Thompson,,M,3,0:24:05.61,0:06:12.59,0:09:52.98,0:08:00.04,,,,,,,,,,
44,Angie Bergschneider,,F,3,0:37:08.10,0:11:55.06,0:12:01.42,0:13:11.62,,,,,,,,,,
60,Paul Kibe,,M,2,0:09:43.66,0:04:21.82,0:05:21.85,,,,,,,,,,,
47,Debbie Breit,,F,2,0:37:09.09,0:13:10.93,0:23:58.16,,,,,,,,,,,
41,Jennifer Thompson,,F,2,8:40:15.12,0:14:39.74,8:25:35.38,,,,,,,,,,,
75,Renee Troutner,,F,1,0:14:56.87,0:14:56.87,,,,,,,,,,,,
