2025 Base to Space 
2025-9-25

150
76,Shaun Stephens-Whale,30-39,M,4:15.04
112,Alexander Workman,40-49,M,4:36.25
54,Tristan Roth,40-49,M,4:50.71
120,Oscar Lilienthal,30-39,M,5:00.02
115,Vasily Tarasov,40-49,M,5:08.20
64,Jill Paha,40-49,F,5:15.30
109,Brenton Liseth,30-39,M,5:17.52
79,Blake Erickson,30-39,M,5:18.27
101,Paul Yetter,60-69,M,5:18.74
100,Kendal Crawford,30-39,F,5:19.13
85,Mark Ewell,50-59,M,5:23.30
1212,Vasily Tarasov,40-49,M,5:30.40
696,Paul Yetter,60-69,M,5:33.56
87,Andre Ellison,30-39,M,5:52.27
665,Vasily Tarasov,40-49,M,5:53.74
1811,Sage LaTorra,30-39,M,5:56.91
6,Ryan Fear,30-39,M,5:57.19
74,Dan Hartman,60-69,M,5:57.83
59,Peter Everill,30-39,M,6:00.11
264,Jill Paha,40-49,F,6:03.33
1591,Vasily Tarasov,40-49,M,6:07.41
73,Jeff Eger,40-49,M,6:08.34
678,Brenton Liseth,30-39,M,6:08.37
844,Zach Whittle,30-39,M,6:08.73
746,Brenton Liseth,30-39,M,6:12.70
97,Mark Henderson,60-69,M,6:13.76
1891,Vasily Tarasov,40-49,M,6:14.32
1566,Vasily Tarasov,40-49,M,6:15.77
755,Glen Cornell,30-39,M,6:18.08
86,Debbie Officer,50-59,F,6:19.08
80,Matt Accola,40-49,M,6:20.83
106,Scott Lindquist,30-39,M,6:21.58
976,Brian Caruso,40-49,M,6:21.67
229,Bob Schlemmer,60-69,M,6:22.68
56,Tricia O'Hara,50-59,F,6:24.12
680,Peter Everill,30-39,M,6:24.25
666,Bob Schlemmer,60-69,M,6:26.26
1206,Andre Ellison,30-39,M,6:26.62
745,Peter Everill,30-39,M,6:27.52
744,Bob Schlemmer,60-69,M,6:27.63
230,Brenton Liseth,30-39,M,6:28.01
1557,Andrew Stewart,40-49,M,6:29.66
70,Bob Schlemmer,60-69,M,6:30.91
259,Debbie Officer,50-59,F,6:31.83
231,Peter Everill,30-39,M,6:33.35
420,Bertrand Hauss,40-49,M,6:35.69
981,Cal Lee,30-39,M,6:37.01
62,Christopher Papetti,30-39,M,6:37.47
96,Chris McMillon,30-39,M,6:42.40
221,Sean Mulcahy,18-29,M,6:43.21
98,Jason Siegel,40-49,M,6:45.76
53,Gerardo Castro Lara,30-39,M,6:52.64
2002,Steve Young,40-49,M,6:54.65
68,Zion Steiner,18-29,M,6:55.20
93,Luke Bartel,18-29,M,6:57.73
119,Jeffrey Ott,40-49,M,6:58.92
677,Debbie Officer,50-59,F,7:00.22
157,David Pace,40-49,M,7:03.87
1381,Chris Johnston,50-59,M,7:05.02
578,Amanda Cooper,30-39,F,7:07.11
1311,Duc Huynh,30-39,F,7:07.12
869,Steve Goodson,50-59,M,7:07.20
107,Tim Bond,30-39,M,7:07.56
980,Cameron Voetmann,40-49,M,7:09.92
117,Gabe Schimpf,18-29,M,7:12.54
110,Cary Kopczynski,70-79,M,7:12.73
733,Debbie Officer,50-59,F,7:12.86
636,Julian Gallegos,18-29,M,7:14.79
1525,Gerardo Castro Lara,30-39,M,7:19.53
61,Lizanne Venneri,40-49,F,7:21.26
330,Andrew Chin,50-59,M,7:25.50
252,Michael Hintze,50-59,M,7:27.08
287,Emily Czarnecki,40-49,F,7:27.33
60,David Hanley,50-59,M,7:29.81
432,Jeff Malins,30-39,M,7:30.36
487,Gabe Schimpf,18-29,M,7:30.67
113,Ben Reeves,18-29,M,7:32.16
136,Jack Chang,18-29,X,7:35.83
450,John Gillilan,40-49,M,7:37.00
446,Ben Robinson,50-59,M,7:40.45
1117,Gary Sterling,40-49,M,7:41.92
1676,Ilari Shafer,30-39,M,7:42.03
984,Tommy Kranwinkle,18-29,M,7:42.15
343,Parker Duncan,18-29,M,7:45.45
118,Kyle Munko,18-29,M,7:46.52
1513,Colby Haugland,18-29,M,7:46.77
1317,Padraic Murphy,30-39,M,7:47.11
66,Mark Phelps,60-69,M,7:47.33
108,Madison Miles,40-49,F,7:47.89
644,Patrick Jakubowski,30-39,M,7:49.66
125,Gavin Barron,40-49,M,7:50.67
812,Paul Picardo,60-69,M,7:51.09
111,Edelmar Navaluna,30-39,M,7:51.12
864,Andrew Stewart,40-49,M,7:51.82
1817,Anonymous Participant,60-69,M,7:51.93
901,Maxine Lee,40-49,F,7:52.01
810,Jacob Brown,30-39,M,7:54.84
407,Juan Olivo,40-49,M,7:56.69
65,Joshua Tufts,50-59,M,7:57.15
1140,Jason Ekholm,40-49,M,7:57.42
1055,Kate Markey,40-49,F,7:58.03
806,Robert Marshall,50-59,M,7:58.69
906,Paul Hinrichs,30-39,M,7:59.48
2058,Luke Thompson,30-39,M,8:00.14
1502,Isaac Apaez-Gutierrez,18-29,M,8:00.65
328,Lauren Rist,30-39,F,8:01.50
1306,Antoinette Loghry,30-39,F,8:02.11
738,Jill Paha,40-49,F,8:02.45
415,Paul Lampe,60-69,M,8:03.44
863,Mark Phelps,60-69,M,8:05.32
78,Joseph Erickson,60-69,M,8:05.54
1213,Cassie Helm,30-39,F,8:05.80
876,Stela Ciubotaru,30-39,F,8:05.81
762,Jordan Yen,18-29,M,8:07.83
490,Mark Green,40-49,M,8:09.95
323,Derek Van Alen,60-69,M,8:10.98
77,Clara Erickson,18-29,F,8:11.78
873,Stuart Zaichkin,30-39,M,8:12.99
1493,Andrew Painter,18-29,M,8:13.56
1432,Megan McMahon,18-29,F,8:14.02
908,Will Beason,30-39,M,8:14.13
72,Olga Chinka,30-39,F,8:14.61
640,Cole Adams,18-29,M,8:15.66
772,Evan Wright,30-39,M,8:17.23
582,Stan Ma,50-59,M,8:17.38
961,Bob Flynn,70-79,M,8:17.55
1995,Laura Van Cleve,30-39,F,8:17.77
102,Grant Hadlich,30-39,M,8:17.92
498,Lauren Frueh,18-29,F,8:18.82
133,Mayank Motukuri,18-29,M,8:19.43
69,Greg Clinkingbeard,70-79,M,8:24.00
116,Luke Osborne,18-29,M,8:25.51
965,Joe Walker,18-29,M,8:26.48
1226,Daniel Tobin,40-49,M,8:27.27
983,Michelle Ho,30-39,F,8:28.47
58,Stephan Heath,40-49,M,8:30.54
341,Leo Novsky,40-49,M,8:30.71
218,Colin Jorgensen,40-49,M,8:30.92
1196,Chase Cross,30-39,M,8:31.59
2055,Jessica Voetmann,40-49,F,8:31.77
465,Gina Gallegos,30-39,F,8:31.84
94,Greg Cerretani,40-49,M,8:32.79
903,Jonathan Campbell,50-59,M,8:32.81
48,Fran-Michelle Reichert,60-69,F,8:32.99
1512,Jason Haugland,50-59,M,8:33.35
1169,Dahilin Aguirre,18-29,F,8:34.92
662,Steven Palmer,30-39,M,8:35.33
739,Alexander Workman,40-49,M,8:35.91
905,Matthew Quinlan,30-39,M,8:37.66
276,Farooq Ahmad,40-49,M,8:37.98
857,Brett Miller,30-39,M,8:39.56
561,Alison Perry,30-39,F,8:40.00
386,Hannah Bauer,30-39,F,8:40.40
633,April Cordsen,30-39,F,8:41.51
670,Steve Hill,70-79,M,8:42.74
1174,Kellin Bonilla,30-39,M,8:43.21
904,Lisa Cordell,50-59,F,8:43.92
128,Scott Peterson,60-69,M,8:44.58
114,Bruce York,70-79,M,8:44.67
1221,Ben Burnham,40-49,M,8:44.83
1689,Timothy Lane,60-69,M,8:45.62
1112,Hannah Weil,30-39,F,8:45.83
842,Mona Engle,60-69,F,8:45.99
1440,Ray Wong,40-49,M,8:46.76
1668,Paul Hinrichs,30-39,M,8:47.71
1556,Linda Cooper,50-59,F,8:48.30
1870,Joseph Morris,30-39,M,8:48.46
727,Michael Robon,50-59,M,8:49.62
945,Dana Marvich,30-39,M,8:49.93
1124,Winter Heath,30-39,F,8:50.11
105,Kaylin Cochran,50-59,F,8:50.51
134,Daniel Folkinshteyn,40-49,M,8:51.00
1953,April Lancaster,18-29,F,8:51.32
635,Tom Gallegos,60-69,M,8:51.75
1892,Daniel Mog,40-49,M,8:51.76
1554,Chris Foster,40-49,M,8:51.78
574,Abbey Norris,40-49,F,8:51.97
1485,Daniel Mog,40-49,M,8:52.47
135,Samantha Russell,30-39,F,8:52.64
764,Jessica Fernen,30-39,F,8:53.75
1356,Zachary Stednitz,18-29,M,8:53.99
270,Jeff Woerner,50-59,M,8:54.07
504,Jonathan Schweiger,40-49,M,8:54.57
605,Cameron Gentry,18-29,M,8:55.02
845,Kate Schultz,30-39,F,8:55.78
799,Felix Yoon,30-39,M,8:55.89
1949,Gage Jackson,18-29,X,8:56.11
511,Jeremy Green,40-49,M,8:56.47
1574,Madi Mulick,18-29,F,8:58.15
1319,Harsha Ravi,30-39,M,8:58.47
586,Lyann Rust,60-69,F,8:59.09
63,Colson Gerard,18-29,M,9:00.93
103,Kerrie Hecko,50-59,F,9:01.07
145,Uli Homann,50-59,M,9:01.07
858,Saskia de Jonge,30-39,F,9:01.25
104,Jubal Fresh,40-49,M,9:02.00
1455,Kristin Arvidson,60-69,F,9:02.01
830,Andy Shawber,40-49,M,9:02.80
1453,Quinn Wiley,18-29,F,9:02.96
1789,Grant Hadlich,30-39,M,9:04.51
778,Mike Luk,30-39,M,9:05.31
931,Aaron Dodell,18-29,M,9:06.08
1491,Janice Andrews,60-69,F,9:06.12
554,Justin Durlewanger,40-49,M,9:07.24
440,Carter Post,30-39,M,9:07.68
1819,Ajay Ganesan,30-39,M,9:08.69
99,Mark Harmon,60-69,M,9:09.36
137,Lexi Maerz,18-29,F,9:10.53
1171,Troy Mason,50-59,M,9:11.51
84,Joe Rovito,60-69,M,9:11.91
1024,Alix Strickland,40-49,F,9:11.85
840,Linda Cooper,50-59,F,9:12.06
340,Leo Novsky,40-49,M,9:13.12
124,Dustin Lyle,50-59,M,9:13.45
960,Nicholas Blaskey,18-29,M,9:13.74
1294,Andrew Macedonia,30-39,M,9:13.83
509,Gabby Ng,30-39,F,9:14.20
850,David Paige,60-69,M,9:14.28
1239,Renee Graham,50-59,F,9:15.59
1122,Travis Escame,50-59,M,9:16.61
1913,Christopher Pace,30-39,M,9:16.78
1458,Mark Merlino,50-59,M,9:17.29
434,Wayne Tow,40-49,M,9:18.79
82,Antonio Perez,30-39,M,9:19.69
