2020 FFA minnesota
2020-2-17

50
2, Jason Larson, 36,M,  4:12,    4:46,    4:41,    4:53,    4:57,    5:00,    4:59,    5:00,    4:50,    4:40,   47:58
24, David Stascavage, 50,M,  4:45,    5:10,    5:15,    5:31,    5:53,    5:46,    5:47,    5:25,    5:34,   49:06,
111, Aldrin D'souza, 38,M,  4:56,    5:15,    5:30,    5:50,    6:03,    5:46,    6:02,    5:53,    5:58,   51:13,
1, Michael Bisanz, 33,M,  4:44,    5:15,    5:31,    5:49,    6:04,    6:08,    6:02,    6:02,    6:40,   52:15,
4, Alex Dybsky, 34,M,  4:55,    5:09,    5:31,    6:09,    5:58,    6:20,    6:47,    6:01,    8:15,   55:05,
15, Frank Elsenbast, 54,M,  5:12,    5:49,    6:06,    6:12,    6:21,    6:19,    6:30,    6:33,    6:34,   55:36,
91, Eli Phillips, 23,M,  5:15,    5:33,    5:53,    6:30,    6:03,    6:05,    6:03,    5:55,   47:17,,
117, Caleb Sohm, 37,M,  5:46,    5:35,    6:15,    5:51,    5:54,    5:57,    5:57,    6:10,   47:25,,
36, Dave Keller, 53,M,  5:23,    5:54,    6:08,    6:27,    6:43,    6:57,    6:17,    6:29,   50:18,,
69, Andrew Johnson, 34,M,  5:10,    5:51,    6:15,    6:41,    6:28,    6:55,    6:39,    6:52,   50:51,,
40, Denise Ward, 50,F,  5:56,    5:58,    6:10,    6:31,    6:34,    6:58,    7:16,    6:30,   51:53,,
20, Nick Najjar, 36,M,  5:25,    5:57,    6:22,    6:38,    6:45,    7:01,    6:17,    9:12,   53:37,,
28, Sybi Czeneszew, 20,M,  6:17,    6:22,    6:40,    6:45,    7:08,    7:07,    7:10,    7:03,   54:32,,
5, Nam Truong, 35,M,  4:59,    6:34,    6:52,    6:53,    7:12,    6:54,    6:44,    8:28,   54:36,,
27, Michelle Whitman, 52,F,  6:17,    6:40,    6:34,    6:47,    6:59,    7:12,    7:13,    7:08,   54:50,,
110, Robert Parsons, 47,M,  6:00,    6:40,    7:06,    6:55,    7:07,    7:02,    6:46,    9:40,   57:16,,
10, Scott McDonald, 38,M,  5:23,    6:22,    7:25,    7:27,    8:09,    8:08,    7:31,   10:47, 1:01:12,,
3, Conner Dahl, 27,M,  4:44,    6:48,    8:39,    7:28,    6:42,    6:07,    6:20,   46:48,,,
22, Suzzi Pickett, 46,F,  5:51,    6:25,    6:56,    7:04,    7:22,    7:21,    7:25,   48:24,,,
32, Patrick Busch, 33,M,  5:51,    6:35,    6:44,    7:04,    7:24,    7:56,    7:02,   48:36,,,
67, Todd Thomas, 50,M,  6:43,    7:00,    7:15,    7:17,    7:10,    7:18,    7:21,   50:04,,,
95, Steve Strom, 35,M,  6:38,    6:33,    7:28,    7:17,    7:47,    7:31,    6:58,   50:12,,,
71, Bill Idzorek, 54,M,  7:05,    7:35,    7:02,    7:16,    7:23,    7:37,    6:26,   50:24,,,
114, Josh Pollack, 27,M,  6:11,    7:17,    8:03,    7:33,    7:16,    8:16,    6:14,   50:50,,,
72, Douglas Nelson, 39,M,  6:59,    7:39,    7:01,    7:18,    7:33,    7:40,    7:40,   51:50,,,
45, Andrea Fick, 26,F,  5:33,    6:36,    7:12,    8:03,    8:16,    7:48,    8:46,   52:14,,,
115, Cari Wikman, 28,F,  6:22,    7:03,    7:41,    7:33,    8:00,    7:59,    7:53,   52:31,,,
55, Jeff Berg, 47,M,  7:02,    6:59,    6:40,    7:28,    8:02,    8:24,    8:18,   52:53,,,
