FFA milwaukee
2019-3-10

100
65,Brian Campeau,,M,10:32,10:42,11:04,12:05,,,,,44:23
66,Tracy Bisenius,,F,9:43,11:00,12:00,12:00,,,,,44:43
67,Som Phanouvanh,,M,9:53,11:31,12:36,14:01,,,,,48:01
68,Ashley Glembin,,F,11:23,12:43,12:21,12:55,,,,,49:22
69,Karen Johannes,,F,10:57,12:16,13:15,13:21,,,,,49:49
70,Becky Allen,,F,12:33,12:46,13:18,12:44,,,,,51:21
71,Lisa Flaherty,,F,11:08,13:09,13:33,14:10,,,,,52:00
72,Sydney Clark,,F,11:37,13:15,14:21,15:18,,,,,54:31
73,Kathy Aukland,,F,13:33,14:03,13:25,14:08,,,,,55:09
74,Erika Biemann,,F,11:27,12:54,14:03,17:16,,,,,55:40
75,Tom Lamke,,M,12:24,14:09,15:09,14:23,,,,,56:05
76,Linda Luedtke,,F,12:11,15:01,14:44,15:11,,,,,57:07
77,Amy Bustillos,,F,11:49,13:48,15:26,16:26,,,,,57:29
78,James Pemberton,,M,11:48,13:56,15:22,16:33,,,,,57:39
79,Karly Croatt,,F,11:15,13:09,16:38,18:30,,,,,59:32
80,Julie Fliss,,F,13:02,14:58,16:01,16:58,,,,,1:00:59
81,Stephanie Carlson,,F,11:46,15:09,17:16,16:53,,,,,1:01:04
82,Nolman Davis Jr,,M,13:24,14:52,17:42,17:42,,,,,1:03:40
83,Kimberly McGee,,F,13:11,16:30,17:07,19:28,,,,,1:06:16
84,Chuck Wavra,,M,8:17,8:57,9:07,,,,,,26:21
85,Tony Sericati,,M,8:25,12:20,12:18,,,,,,33:03
86,Laura Sandoval,,F,10:05,11:00,12:20,,,,,,33:25
87,Brian Dobberke,,M,10:58,12:06,12:43,,,,,,35:47
88,Todd Pfander,,M,10:05,13:07,14:44,,,,,,37:56
89,Dave Kopydlowski,,M,10:16,14:01,13:58,,,,,,38:15
90,Glenn Wobick,,M,11:33,13:59,14:52,,,,,,40:24
91,Nick LoCicero,,M,11:20,14:28,15:29,,,,,,41:17
92,Melissa Adamek,,F,14:12,13:24,14:26,,,,,,42:02
93,Denise Volpe,,F,11:28,13:58,17:00,,,,,,42:26
94,Mark Ruedinger,,M,9:43,18:55,14:45,,,,,,43:23
95,Stephen Pawlinski,,M,12:20,14:17,17:05,,,,,,43:42
96,John Borden,,M,12:12,16:02,16:43,,,,,,44:57
97,Veronica Arteaga,,F,14:42,15:51,15:57,,,,,,46:30
98,Elijah Krajewski,,M,10:22,14:27,24:39,,,,,,49:28
99,Shameka Berryman,,F,15:00,17:07,19:38,,,,,,51:45
100,Nicole Degrave,,F,16:17,15:55,20:32,,,,,,52:44
101,Andy Weigel,,M,8:45,11:23,,,,,,,20:08
102,Kristy Gusse,,F,9:40,10:40,,,,,,,20:20
103,Abbey Abraham,,F,9:25,10:58,,,,,,,20:23
104,Mitchell Weigel,,M,9:02,11:30,,,,,,,20:32
105,Julie Hutter,,F,10:36,10:52,,,,,,,21:28
106,Scott Johannes,,M,11:03,12:22,,,,,,,23:25
107,Cindy Dobberke,,F,11:48,12:03,,,,,,,23:51
108,Elizabeth Kanthak,,F,12:50,13:27,,,,,,,26:17
109,Kris Nelson,,F,13:40,15:15,,,,,,,28:55
110,Gary Steven,,M,18:35,12:42,,,,,,,31:17
111,Amanda Steven,,F,14:03,17:44,,,,,,,31:47
112,Atticus Goff,,M,12:50,20:08,,,,,,,32:58
113,Leah DeMarco,,F,12:56,20:10,,,,,,,33:06
114,Kathleen Brazelton-Davi,,F,15:57,19:27,,,,,,,35:24
115,Deb Kopydlowski,,F,15:18,20:16,,,,,,,35:34
116,Velvetta Hargrove,,F,19:12,27:09,,,,,,,46:21
117,Carl Solms,,M,7:06,,,,,,,,7:06
118,Emily Myslinski,,F,9:47,,,,,,,,9:47
119,Shannon Wasielewski,,F,12:24,,,,,,,,12:24
120,Thomas Kuhart,,M,12:49,,,,,,,,12:49
121,Jessica Kuhart,,F,12:52,,,,,,,,12:52
122,Nick Leak,,M,12:56,,,,,,,,12:56
123,Betty Benedict,,F,13:51,,,,,,,,13:51
124,Joseph Diamante,,M,14:19,,,,,,,,14:19
125,Wes Werner,,M,16:14,,,,,,,,16:14
126,Samantha Kislow,,F,16:44,,,,,,,,16:44
127,Tracy Arndt,,F,17:39,,,,,,,,17:39
128,Kitt Kalscheur,,M,18:08,,,,,,,,18:08
129,Joseph Steven,,M,20:52,,,,,,,,20:52
130,Gerry Boisvert,,M,21:18,,,,,,,,21:18
131,Nikki Lannert,,F,30:12,,,,,,,,30:12
132,Sarah Dalton,,F,30:23,,,,,,,,30:23
133,Tatia Tyson,,F,30:30,,,,,,,,30:30
